facility_id,zipcode,program_type,facility_name,total_capacity,under5_capacity,preschool_capacity,school_age_capacity,children_capacity,latitude,longitude,m1_max_expand,m1_unit_cost,m2_max_expand,m2_tier1_cap,m2_tier2_cap,m2_tier3_cap,m2_ucost_t1,m2_ucost_t2,m2_ucost_t3
836222,10452,GFDC,FAMILY DAY CARE HAPPY FACE INC.,16,12,0,4,12,40.842518,-73.919922,19.2,1450.0,3.2,1.6,2.4,3.2,1450.0,1650.0,2250.0
308883,10304,GFDC,"Coye, Liliana",16,12,0,4,12,40.616104,-74.082802,19.2,1450.0,3.2,1.6,2.4,3.2,1450.0,1650.0,2250.0
623209,11221,GFDC,Learning Together with Love Day Care,16,12,0,4,12,40.694482,-73.912735,19.2,1450.0,3.2,1.6,2.4,3.2,1450.0,1650.0,2250.0
436306,10457,GFDC,253 HAPPY KIDS DAYCARE INC,14,12,0,2,12,40.854363,-73.899961,16.8,1628.5714285714287,2.8000000000000003,1.4000000000000001,2.1,2.8000000000000003,1628.5714285714287,1828.5714285714287,2428.5714285714284
838974,10455,GFDC,"Kaba, Mariama",8,8,0,0,8,40.815483,-73.904693,9.6,2700.0,1.6,0.8,1.2,1.6,2700.0,2900.0,3500.0
812950,10462,GFDC,Neneadama DayCare,12,12,0,0,12,40.837322,-73.856323,14.399999999999999,1866.6666666666667,2.4000000000000004,1.2000000000000002,1.7999999999999998,2.4000000000000004,1866.6666666666667,2066.6666666666665,2666.6666666666665
266584,11370,GFDC,Estelita's Daycare Corp.,16,12,0,4,12,40.756719,-73.890111,19.2,1450.0,3.2,1.6,2.4,3.2,1450.0,1650.0,2250.0
485412,11435,GFDC,"D'Little Star Day Care, Inc",16,12,0,4,12,40.686606,-73.802758,19.2,1450.0,3.2,1.6,2.4,3.2,1450.0,1650.0,2250.0
597346,11220,GFDC,CLARIMAR KIDS CORP.,16,12,0,4,12,40.647348,-74.011331,19.2,1450.0,3.2,1.6,2.4,3.2,1450.0,1650.0,2250.0
160474,11230,GFDC,"Monheit, Neil",16,12,0,4,12,40.625009,-73.959237,19.2,1450.0,3.2,1.6,2.4,3.2,1450.0,1650.0,2250.0
71901,10310,GFDC,"Agoglia, Mavis",14,12,0,2,12,40.629725,-74.106154,16.8,1628.5714285714287,2.8000000000000003,1.4000000000000001,2.1,2.8000000000000003,1628.5714285714287,1828.5714285714287,2428.5714285714284
759884,11206,SACC,"Grand Street Settlement, Inc @ Tompkins Comm. Ctr.",45,0,0,45,0,40.697738,-73.94609,54.0,644.4444444444445,9.0,4.5,6.75,9.0,644.4444444444445,844.4444444444445,1444.4444444444443
499128,10030,FDC,"Wilson, Earnestine",8,6,0,2,6,40.818105,-73.940124,9.6,2700.0,1.6,0.8,1.2,1.6,2700.0,2900.0,3500.0
145182,10463,FDC,"Adorno, Milagros",8,6,0,2,6,40.876322,-73.908645,9.6,2700.0,1.6,0.8,1.2,1.6,2700.0,2900.0,3500.0
533406,11214,GFDC,Ademi Inc.,16,12,0,4,12,40.599807,-73.992622,19.2,1450.0,3.2,1.6,2.4,3.2,1450.0,1650.0,2250.0
765038,10027,SACC,"Aspira, Inc. @PS/MS 161",60,0,0,60,0,40.817657,-73.952936,72.0,533.3333333333334,12.0,6.0,9.0,12.0,533.3333333333334,733.3333333333334,1333.3333333333333
873512,11233,SACC,I'RAISE Girls and Boys International Corporation,111,0,0,111,0,40.675123,-73.915349,133.2,380.1801801801802,22.200000000000003,11.100000000000001,16.65,22.200000000000003,380.1801801801802,580.1801801801802,1180.1801801801803
742495,10029,SACC,East Harlem Tutorial Program @PS/IS 171,97,0,0,97,0,40.792005,-73.95131,116.39999999999999,406.1855670103093,19.400000000000002,9.700000000000001,14.549999999999999,19.400000000000002,406.1855670103093,606.1855670103092,1206.1855670103093
627333,10453,GFDC,"Anglade, Patrick",16,12,0,4,12,40.848144,-73.919266,19.2,1450.0,3.2,1.6,2.4,3.2,1450.0,1650.0,2250.0
73945,10029,SACC,YMCA of Greater NY @Harlem Y PS 57,74,0,0,74,0,40.79748,-73.941356,88.8,470.27027027027026,14.8,7.4,11.1,14.8,470.27027027027026,670.2702702702703,1270.2702702702702
659002,10462,GFDC,"Peanut Butter and Jelly Daycare, Inc.",16,12,0,4,12,40.856473,-73.866754,19.2,1450.0,3.2,1.6,2.4,3.2,1450.0,1650.0,2250.0
247489,10039,GFDC,Milagros Family Daycare Inc.,14,12,0,2,12,40.8249772,-73.939092,16.8,1628.5714285714287,2.8000000000000003,1.4000000000000001,2.1,2.8000000000000003,1628.5714285714287,1828.5714285714287,2428.5714285714284
749569,10451,GFDC,"Reyes De Munoz, Zuez",14,12,0,2,12,40.824083,-73.927082,16.8,1628.5714285714287,2.8000000000000003,1.4000000000000001,2.1,2.8000000000000003,1628.5714285714287,1828.5714285714287,2428.5714285714284
150676,11434,FDC,"Spruill, Lorna",8,6,0,2,6,40.675663,-73.7651,9.6,2700.0,1.6,0.8,1.2,1.6,2700.0,2900.0,3500.0
549304,10451,GFDC,"Mejia, Joselin",16,12,0,4,12,40.822662,-73.912646,19.2,1450.0,3.2,1.6,2.4,3.2,1450.0,1650.0,2250.0
770510,11370,GFDC,America's Group Family Day Care Corp.,16,12,0,4,12,40.759672,-73.886886,19.2,1450.0,3.2,1.6,2.4,3.2,1450.0,1650.0,2250.0
831460,11367,GFDC,"Tshuva, Farekho",16,12,0,4,12,40.728,-73.8195,19.2,1450.0,3.2,1.6,2.4,3.2,1450.0,1650.0,2250.0
709769,10457,SACC,"Police Athletic League, Inc",257,0,0,257,0,40.848415,-73.892923,243.0,277.82101167315176,51.400000000000006,25.700000000000003,38.55,51.400000000000006,277.82101167315176,477.82101167315176,1077.8210116731518
