location_id,zipcode,latitude,longitude,size,total_slots,under5_slots,build_cost,equip_cost,total_cost
11768,11230.0,40.61644903754795,-73.96035245796227,L,400,200,115000,20000,135000
11775,11230.0,40.630201770700864,-73.97188191135803,L,400,200,115000,20000,135000
11784,11230.0,40.61292055561706,-73.96300712926711,L,400,200,115000,20000,135000
11786,11230.0,40.62011568828586,-73.97130226441448,L,400,200,115000,20000,135000
11789,11230.0,40.61338697383065,-73.95986007932224,L,400,200,115000,20000,135000
11791,11230.0,40.618232189233304,-73.96096285068612,L,400,200,115000,20000,135000
11795,11230.0,40.63226264928685,-73.9725951816238,L,400,200,115000,20000,135000
11799,11230.0,40.62994177141445,-73.97462366435431,L,400,200,115000,20000,135000
11803,11231.0,40.68805208852408,-74.00711579713074,L,400,200,115000,20000,135000
11804,11231.0,40.68530092312325,-74.00494001744333,L,400,200,115000,20000,135000
11819,11231.0,40.68456977959171,-73.99243591229262,L,400,200,115000,20000,135000
11825,11231.0,40.679422708229154,-73.99259154700844,L,400,200,115000,20000,135000
11832,11231.0,40.6797934262684,-74.0113679612236,L,400,200,115000,20000,135000
11833,11231.0,40.67374460667875,-74.00489792764938,L,400,200,115000,20000,135000
11850,11231.0,40.68018758370503,-74.0101247768637,L,400,200,115000,20000,135000
11851,11231.0,40.6701382724028,-74.00774612219233,L,400,200,115000,20000,135000
11893,11231.0,40.67213225670942,-74.0068944922967,L,400,200,115000,20000,135000
11905,11232.0,40.655473701253705,-73.99664775353114,L,400,200,115000,20000,135000
11946,11232.0,40.643724809623954,-74.0023343916232,L,400,200,115000,20000,135000
11961,11232.0,40.6526464186778,-74.00878836854928,L,400,200,115000,20000,135000
11983,11232.0,40.64981900665578,-73.9922641859215,L,400,200,115000,20000,135000
12004,11233.0,40.670421065464765,-73.91751695664969,L,400,200,115000,20000,135000
12017,11233.0,40.67781254210602,-73.93081284363411,L,400,200,115000,20000,135000
12018,11233.0,40.67958511159721,-73.91728220965149,L,400,200,115000,20000,135000
12023,11233.0,40.67597823583581,-73.91832041489619,L,400,200,115000,20000,135000
12024,11233.0,40.682265025899696,-73.9308596080287,L,400,200,115000,20000,135000
12028,11233.0,40.668524352934,-73.92368097663173,L,400,200,115000,20000,135000
12033,11233.0,40.68254561190124,-73.92581987235545,L,400,200,115000,20000,135000
12034,11233.0,40.685806382539866,-73.92991509548631,L,400,200,115000,20000,135000
12038,11233.0,40.68814765568205,-73.9174660118451,L,400,200,115000,20000,135000
12041,11233.0,40.68747419603651,-73.9197163236365,L,400,200,115000,20000,135000
12050,11233.0,40.67040506042128,-73.91121028703954,L,400,200,115000,20000,135000
12053,11233.0,40.68756288901707,-73.93045641648118,L,400,200,115000,20000,135000
12058,11233.0,40.671562650987326,-73.9305252631015,L,400,200,115000,20000,135000
12076,11233.0,40.67101191992496,-73.915616212445,L,400,200,115000,20000,135000
12078,11233.0,40.66874349963364,-73.91264455314023,L,400,200,115000,20000,135000
12081,11233.0,40.68416823522054,-73.91338038617971,L,400,200,115000,20000,135000
12096,11233.0,40.67696820572823,-73.91389263121017,L,400,200,115000,20000,135000
12103,11234.0,40.62581503533209,-73.91517606943684,L,400,200,115000,20000,135000
12118,11234.0,40.630479146709014,-73.92214184149317,L,400,200,115000,20000,135000
12148,11234.0,40.61742736171113,-73.92509916941452,L,400,200,115000,20000,135000
12152,11234.0,40.62560704673269,-73.91793778627878,L,400,200,115000,20000,135000
12153,11234.0,40.624649933691344,-73.93239251476743,L,400,200,115000,20000,135000
12157,11234.0,40.62741595770618,-73.93277070744506,L,400,200,115000,20000,135000
12164,11234.0,40.62406032937222,-73.92341914104962,L,400,200,115000,20000,135000
12167,11234.0,40.62559601822916,-73.92965765226495,L,400,200,115000,20000,135000
12173,11234.0,40.61850946477438,-73.9157301345934,L,400,200,115000,20000,135000
12186,11234.0,40.62188649398576,-73.91470742438908,L,400,200,115000,20000,135000
12193,11234.0,40.62597222764435,-73.92827349176082,L,400,200,115000,20000,135000
12197,11234.0,40.61455443518503,-73.92614522841893,L,400,200,115000,20000,135000
12222,11235.0,40.58289585529196,-73.94474775656344,L,400,200,115000,20000,135000
12223,11235.0,40.57675632775216,-73.95601204214996,L,400,200,115000,20000,135000
12240,11235.0,40.580581251968965,-73.95175381062732,L,400,200,115000,20000,135000
12244,11235.0,40.57396899077954,-73.95441503484282,L,400,200,115000,20000,135000
12250,11235.0,40.575067841689275,-73.95440361942379,L,400,200,115000,20000,135000
12251,11235.0,40.58463846690551,-73.94859805446593,L,400,200,115000,20000,135000
12254,11235.0,40.58221784058581,-73.94563314169149,L,400,200,115000,20000,135000
12257,11235.0,40.57783637410893,-73.95045557812351,L,400,200,115000,20000,135000
12258,11235.0,40.587617193545064,-73.95711865429567,L,400,200,115000,20000,135000
12264,11235.0,40.5885563281691,-73.95753170845171,L,400,200,115000,20000,135000
12266,11235.0,40.58246517201077,-73.96270747146663,L,400,200,115000,20000,135000
12289,11235.0,40.58962429261461,-73.94420996907704,L,400,200,115000,20000,135000
12295,11235.0,40.58625835963346,-73.95863239588735,L,400,200,115000,20000,135000
12304,11236.0,40.63750478057047,-73.89608658914486,L,400,200,115000,20000,135000
12309,11236.0,40.64890724471888,-73.9061258461878,L,400,200,115000,20000,135000
12312,11236.0,40.640111521610535,-73.89416310525841,L,400,200,115000,20000,135000
12314,11236.0,40.64939858629937,-73.91277754877429,L,400,200,115000,20000,135000
12315,11236.0,40.63847948936601,-73.89484371787579,L,400,200,115000,20000,135000
12322,11236.0,40.6368258221443,-73.90383988148506,L,400,200,115000,20000,135000
12332,11236.0,40.64540269640608,-73.90775590000088,L,400,200,115000,20000,135000
12344,11236.0,40.641239836658364,-73.89398091634385,M,200,100,95000,10000,105000
12345,11236.0,40.63695618227807,-73.89857481799767,L,400,200,115000,20000,135000
12346,11236.0,40.64854503795638,-73.91107015332027,L,400,200,115000,20000,135000
12374,11236.0,40.6469276186214,-73.90609956912925,L,400,200,115000,20000,135000
12379,11236.0,40.6330617435904,-73.90356156353357,L,400,200,115000,20000,135000
12386,11236.0,40.640690008565144,-73.89597205833188,L,400,200,115000,20000,135000
12399,11236.0,40.63187116795458,-73.90081071899102,L,400,200,115000,20000,135000
