facility_id,zipcode,current_slots,slots_added,expansion_pct,tier1_slots,tier2_slots,tier3_slots,expansion_cost
235581,11373,16,1.6,10.0,1.6,0.0,0.0,2320.0
704351,11366,16,1.6,10.0,1.6,0.0,0.0,2320.0
827215,10460,12,1.2,10.0,1.2,0.0,0.0,2240.0
723951,10460,12,1.2,10.0,1.2,0.0,0.0,2240.0
852040,11356,16,1.6,10.0,1.6,0.0,0.0,2320.0
517724,11210,16,1.6,10.0,1.6,0.0,0.0,2320.0
728032,11216,16,1.6,10.0,1.6,0.0,0.0,2320.0
783156,10040,16,1.6,10.0,1.6,0.0,0.0,2320.0
852675,11366,16,1.6,10.0,1.6,0.0,0.0,2320.0
612679,10031,12,1.2,10.0,1.2,0.0,0.0,2240.0
772592,10024,16,1.6,10.0,1.6,0.0,0.0,2320.0
781400,11691,14,1.4,10.0,1.4,0.0,0.0,2280.0000000000005
843853,11432,16,1.6,10.0,1.6,0.0,0.0,2320.0
372865,11358,16,1.6,10.0,1.6,0.0,0.0,2320.0
852938,10302,16,1.0666667,6.666666875000001,1.0666667,0.0,0.0,1546.666715
648675,10461,14,1.4,10.0,1.4,0.0,0.0,2280.0000000000005
584441,10031,16,1.6,10.0,1.6,0.0,0.0,2320.0
697795,11419,16,1.6,10.0,1.6,0.0,0.0,2320.0
861611,10473,16,1.6,10.0,1.6,0.0,0.0,2320.0
222677,11691,14,1.4,10.0,1.4,0.0,0.0,2280.0000000000005
607733,10453,12,1.2,10.0,1.2,0.0,0.0,2240.0
72042,11413,14,1.4,10.0,1.4,0.0,0.0,2280.0000000000005
233455,10040,14,1.4,10.0,1.4,0.0,0.0,2280.0000000000005
491506,10031,16,1.6,10.0,1.6,0.0,0.0,2320.0
629131,10031,16,1.6,10.0,1.6,0.0,0.0,2320.0
107741,11226,16,1.6,10.0,1.6,0.0,0.0,2320.0
829839,10460,12,1.2,10.0,1.2,0.0,0.0,2240.0
548365,11417,16,1.6,10.0,1.6,0.0,0.0,2320.0
362789,11691,14,1.4,10.0,1.4,0.0,0.0,2280.0000000000005
539236,10453,12,1.0,8.333333333333332,1.0,0.0,0.0,1866.6666666666667
826265,11217,16,1.6,10.0,1.6,0.0,0.0,2320.0
876311,11239,16,2.4000000000000004,15.000000000000002,1.6,0.8,0.0,3640.0
72437,11419,16,1.86666667,11.666666687500001,1.6,0.26666667,0.0,2760.0000055
444459,10002,16,1.6,10.0,1.6,0.0,0.0,2320.0
386260,10473,16,1.6,10.0,1.6,0.0,0.0,2320.0
673044,11217,16,1.6,10.0,1.6,0.0,0.0,2320.0
765767,10473,12,1.2,10.0,1.2,0.0,0.0,2240.0
213142,11419,16,1.6,10.0,1.6,0.0,0.0,2320.0
357224,11419,16,1.6,10.0,1.6,0.0,0.0,2320.0
785477,11106,16,1.6,10.0,1.6,0.0,0.0,2320.0
773173,10002,16,1.6,10.0,1.6,0.0,0.0,2320.0
872907,10040,16,1.6,10.0,1.6,0.0,0.0,2320.0
493888,11433,16,1.6,10.0,1.6,0.0,0.0,2320.0
695372,11411,16,1.6,10.0,1.6,0.0,0.0,2320.0
228662,10031,16,1.6,10.0,1.6,0.0,0.0,2320.0
399373,11225,14,1.4,10.0,1.4,0.0,0.0,2280.0000000000005
454882,10473,16,1.6,10.0,1.6,0.0,0.0,2320.0
875797,10453,12,1.2,10.0,1.2,0.0,0.0,2240.0
846196,11356,16,1.6,10.0,1.6,0.0,0.0,2320.0
71551,10031,14,1.4,10.0,1.4,0.0,0.0,2280.0000000000005
824259,10453,12,1.2,10.0,1.2,0.0,0.0,2240.0
801161,11356,16,1.6,10.0,1.6,0.0,0.0,2320.0
597560,11417,16,1.6,10.0,1.6,0.0,0.0,2320.0
253604,10040,14,1.4,10.0,1.4,0.0,0.0,2280.0000000000005
246066,11411,16,1.6,10.0,1.6,0.0,0.0,2320.0
731887,11417,16,1.6,10.0,1.6,0.0,0.0,2320.0
712805,10473,14,1.4,10.0,1.4,0.0,0.0,2280.0000000000005
327747,10002,14,2.0999999999999996,14.999999999999996,1.4,0.7,0.0,3560.000000000001
881813,11210,16,1.6,10.0,1.6,0.0,0.0,2320.0
625102,11379,16,3.2,20.0,1.6,0.8,0.8,5440.0
219796,11214,14,1.4,10.0,1.4,0.0,0.0,2280.0000000000005
454141,11366,16,1.6,10.0,1.6,0.0,0.0,2320.0
864336,10031,16,1.6,10.0,1.6,0.0,0.0,2320.0
603419,11419,16,1.6,10.0,1.6,0.0,0.0,2320.0
817891,11413,16,1.6,10.0,1.6,0.0,0.0,2320.0
