zipcode,status,objective_value,expansion_cost,u5_expansion_equip,build_cost,u5_new_equip,expansion_slots,u5_expansion_slots,new_small,new_medium,new_large,new_total_slots,new_u5_slots,total_gap,u5_gap,is_high_demand,is_desert,pop_0_12,pop_0_5,current_total_slots,current_u5_slots,min_total_slots,min_u5_slots,req_total_gap,req_u5_gap
11225,OPTIMAL,742713.1313,467413.13,140300.0,115000.0,20000.0,1403.0,1403.0,0,0,1,400.0,200.0,1438,1603,True,True,6844,3053,1985,433,3423,2036,1438,1603
11226,OPTIMAL,1561749.4214,790649.42,231100.0,460000.0,80000.0,2311.0,2311.0,0,0,4,1600.0,800.0,3420,3111,True,True,13037,5566,3099,600,6519,3711,3420,3111
11228,OPTIMAL,689709.5479,316109.55,103600.0,230000.0,40000.0,1036.0,1036.0,0,0,2,800.0,400.0,717,1436,False,True,5786,2279,1212,84,1929,1520,717,1436
11229,OPTIMAL,1597660.5364,502860.54,149800.0,805000.0,140000.0,1498.0,1498.0,0,0,7,2800.0,1400.0,2333,2898,False,True,12516,4778,1840,288,4173,3186,2333,2898
11230,OPTIMAL,3293183.3333,151483.33,36700.0,2645000.0,460000.0,367.0,367.0,0,0,23,9200.0,4600.0,4979,4967,False,True,17407,7918,824,312,5803,5279,4979,4967
11231,OPTIMAL,937578.2609,414378.26,118200.0,345000.0,60000.0,1182.0,1182.0,0,0,3,1200.0,600.0,831,1782,False,True,6877,3167,1462,330,2293,2112,831,1782
11232,OPTIMAL,278167.4467,204567.45,73600.0,0.0,0.0,736.0,736.0,0,0,0,0.0,0.0,341,736,True,True,4079,1542,1699,292,2040,1028,341,736
11233,OPTIMAL,1550633.3333,984833.33,295800.0,230000.0,40000.0,2958.0,2958.0,0,0,2,800.0,400.0,2990,3358,True,True,12809,5703,3415,444,6405,3802,2990,3358
11234,OPTIMAL,1133407.0024,664407.0,199000.0,230000.0,40000.0,1990.0,1990.0,0,0,2,800.0,400.0,1326,2390,False,True,12585,4665,2870,720,4196,3110,1326,2390
11235,OPTIMAL,1521250.4505,231650.45,74600.0,1035000.0,180000.0,746.0,746.0,0,0,9,3600.0,1800.0,1540,2546,False,True,9877,4313,1753,330,3293,2876,1540,2546
11236,OPTIMAL,1165934.1347,782734.13,248200.0,115000.0,20000.0,2494.0,2482.0,0,0,1,400.0,200.0,2894,2682,True,True,14987,5712,4600,1126,7494,3808,2894,2682
11237,OPTIMAL,476560.3324,361460.33,115100.0,0.0,0.0,1151.0,1151.0,0,0,0,0.0,0.0,940,1151,True,True,4816,2014,1469,192,2409,1343,940,1151
11238,OPTIMAL,1392185.7962,658185.8,194000.0,460000.0,80000.0,1940.0,1940.0,0,0,4,1600.0,800.0,561,2740,False,True,7710,4452,2010,228,2571,2968,561,2740
11239,OPTIMAL,87372.3404,65872.34,21500.0,0.0,0.0,215.0,215.0,0,0,0,0.0,0.0,129,215,True,True,1861,487,802,110,931,325,129,215
